Fruit,ML.PC1,ML.PC2,Lee.2005.X,Lee.2005.Y
apple,-1.38E+02,5.56E+01,0.1432,0.2236
apple,5.52E+01,-3.29E+02,0.1432,0.2236
apple,1.73E+01,-3.06E+02,0.1432,0.2236
apple,-1.68E+01,-1.85E+02,0.1432,0.2236
apple,-1.07E+02,-9.69E+01,0.1432,0.2236
apple,-1.01E+02,1.54E+02,0.1432,0.2236
apple,-1.03E+02,-6.79E+02,0.1432,0.2236
apple,1.27E+02,-5.36E+02,0.1432,0.2236
apple,-1.11E+02,2.41E+02,0.1432,0.2236
apple,4.00E+00,-2.58E+02,0.1432,0.2236
blueberry,1.97E+02,-6.14E+01,0.063097,-0.36413
blueberry,3.49E+02,1.72E+02,0.063097,-0.36413
blueberry,3.43E+02,-6.61E+01,0.063097,-0.36413
blueberry,2.26E+02,-7.23E+01,0.063097,-0.36413
blueberry,3.69E+02,-1.12E+02,0.063097,-0.36413
blueberry,4.27E+02,2.78E+01,0.063097,-0.36413
blueberry,4.43E+02,-2.06E+02,0.063097,-0.36413
blueberry,2.47E+02,-1.24E+02,0.063097,-0.36413
blueberry,3.25E+02,1.10E+02,0.063097,-0.36413
blueberry,3.91E+02,-1.36E+02,0.063097,-0.36413
pear,-1.13E+01,1.35E+02,0.090639,0.37955
pear,-1.60E+02,1.23E+02,0.090639,0.37955
pear,4.85E+01,2.21E+02,0.090639,0.37955
pear,-1.38E+02,5.25E+02,0.090639,0.37955
pear,-6.90E+01,3.96E+02,0.090639,0.37955
pear,7.28E+01,-2.39E+02,0.090639,0.37955
pear,-2.28E+02,1.66E+02,0.090639,0.37955
pear,-6.13E+01,2.04E+02,0.090639,0.37955
pear,-7.55E+01,3.25E+02,0.090639,0.37955
pear,5.50E+01,2.93E+02,0.090639,0.37955
strawberry,2.29E+02,-1.97E+02,0.18345,-0.33401
strawberry,2.07E+02,-6.81E+01,0.18345,-0.33401
strawberry,1.32E+02,-5.70E+02,0.18345,-0.33401
strawberry,1.72E+01,-2.66E+02,0.18345,-0.33401
strawberry,3.06E+02,-4.03E+02,0.18345,-0.33401
strawberry,1.78E+02,-5.03E+02,0.18345,-0.33401
strawberry,2.05E+02,-3.66E+02,0.18345,-0.33401
strawberry,8.45E+01,-2.39E+02,0.18345,-0.33401
strawberry,4.55E+02,-4.24E+02,0.18345,-0.33401
strawberry,3.98E+02,-2.13E+02,0.18345,-0.33401
pomegranate,2.30E+02,-6.37E+02,-0.034269,0.13464
pomegranate,3.82E+02,-7.99E+02,-0.034269,0.13464
pomegranate,3.37E+02,-6.48E+02,-0.034269,0.13464
pomegranate,3.23E+02,-5.62E+02,-0.034269,0.13464
pomegranate,5.97E+02,-6.72E+02,-0.034269,0.13464
pomegranate,1.26E+02,-4.19E+02,-0.034269,0.13464
pomegranate,4.87E+02,-8.31E+02,-0.034269,0.13464
pomegranate,4.02E+02,-6.12E+02,-0.034269,0.13464
pomegranate,5.42E+02,-7.45E+02,-0.034269,0.13464
pomegranate,1.84E+02,-5.25E+02,-0.034269,0.13464
lemon,-2.54E+02,1.93E+02,-0.20874,-0.33582
lemon,-3.76E+02,2.81E+02,-0.20874,-0.33582
lemon,-6.53E+02,3.38E+02,-0.20874,-0.33582
lemon,-5.09E+02,3.00E+02,-0.20874,-0.33582
lemon,-2.16E+02,4.44E+02,-0.20874,-0.33582
lemon,-4.01E+02,2.41E+02,-0.20874,-0.33582
lemon,-9.41E+02,2.31E+02,-0.20874,-0.33582
lemon,-6.40E+02,3.28E+02,-0.20874,-0.33582
lemon,-2.40E+02,3.53E+02,-0.20874,-0.33582
lemon,-4.84E+02,1.74E+02,-0.20874,-0.33582
grapefruit,-2.49E+02,-6.80E+01,-0.4205,-0.15899
grapefruit,-1.41E+02,2.69E+01,-0.4205,-0.15899
grapefruit,9.14E+01,-2.29E+02,-0.4205,-0.15899
grapefruit,-4.03E+02,-8.36E+01,-0.4205,-0.15899
grapefruit,-4.15E+02,-1.18E+02,-0.4205,-0.15899
grapefruit,-7.45E+02,2.64E+02,-0.4205,-0.15899
grapefruit,-4.83E+02,-9.88E+01,-0.4205,-0.15899
grapefruit,-6.93E+02,-9.71E+01,-0.4205,-0.15899
grapefruit,-4.96E+02,-1.52E+02,-0.4205,-0.15899
grapefruit,9.22E+01,4.20E+01,-0.4205,-0.15899
honeydew,7.64E+01,2.95E+02,-0.3688,0.20517
honeydew,-3.58E+02,3.86E+02,-0.3688,0.20517
honeydew,-5.95E+01,1.99E+02,-0.3688,0.20517
honeydew,-1.21E+02,3.11E+02,-0.3688,0.20517
honeydew,-5.49E+01,2.12E+02,-0.3688,0.20517
honeydew,-1.23E+02,2.68E+02,-0.3688,0.20517
honeydew,-1.59E+02,2.44E+02,-0.3688,0.20517
honeydew,-1.09E+02,4.15E+02,-0.3688,0.20517
honeydew,-2.43E+02,2.93E+02,-0.3688,0.20517
honeydew,-2.18E+02,3.12E+02,-0.3688,0.20517
date,1.76E+02,-1.43E+01,0.5001,0.2103
date,9.93E+01,3.76E+01,0.5001,0.2103
date,2.80E+02,-3.45E+02,0.5001,0.2103
date,3.02E+02,-5.09E+02,0.5001,0.2103
date,1.67E+02,5.13E+00,0.5001,0.2103
date,2.67E+02,-1.88E+02,0.5001,0.2103
date,2.77E+02,-2.36E+02,0.5001,0.2103
date,1.92E+02,-1.04E+02,0.5001,0.2103
date,2.80E+02,1.37E+01,0.5001,0.2103
date,2.77E+02,-3.34E+02,0.5001,0.2103
plum,2.98E+02,-2.01E+02,0.13386,0.039443
plum,-1.65E+02,-2.39E+02,0.13386,0.039443
plum,1.02E+02,-2.43E+02,0.13386,0.039443
plum,1.05E+02,-3.18E+02,0.13386,0.039443
plum,-2.95E+02,-1.32E+02,0.13386,0.039443
plum,-1.81E+02,-2.56E+01,0.13386,0.039443
plum,7.68E+01,-2.01E+02,0.13386,0.039443
plum,1.20E+02,-3.12E+02,0.13386,0.039443
plum,-3.73E+02,2.30E+02,0.13386,0.039443
plum,-1.18E+02,-1.59E+02,0.13386,0.039443
tangerine,-5.27E+02,1.26E+01,-0.20306,-0.22085
tangerine,-6.73E+02,9.80E+01,-0.20306,-0.22085
tangerine,-1.40E+02,-4.62E+02,-0.20306,-0.22085
tangerine,8.22E+00,-3.31E+02,-0.20306,-0.22085
tangerine,-2.01E+02,-4.52E+02,-0.20306,-0.22085
tangerine,-6.01E+02,-3.26E+01,-0.20306,-0.22085
tangerine,-4.65E+02,-1.34E+02,-0.20306,-0.22085
tangerine,-3.69E+02,-1.24E+02,-0.20306,-0.22085
tangerine,-3.65E+02,1.71E+01,-0.20306,-0.22085
tangerine,-3.06E+02,1.36E+02,-0.20306,-0.22085
watermelon,7.86E+01,2.92E+02,-0.42037,0.011592
watermelon,-3.04E+02,-1.24E+01,-0.42037,0.011592
watermelon,-2.80E+02,-1.44E+02,-0.42037,0.011592
watermelon,-1.55E+02,-2.26E+02,-0.42037,0.011592
watermelon,-2.33E+02,6.05E+01,-0.42037,0.011592
watermelon,3.41E+01,-7.36E+00,-0.42037,0.011592
watermelon,-4.58E+02,-3.83E+01,-0.42037,0.011592
watermelon,-1.80E+01,1.86E+02,-0.42037,0.011592
watermelon,-6.57E+01,-2.13E+02,-0.42037,0.011592
watermelon,1.63E+02,3.33E+02,-0.42037,0.011592
coconut,3.74E+01,2.51E+02,-0.15821,0.40945
coconut,7.33E+01,2.19E+02,-0.15821,0.40945
coconut,4.42E+02,1.09E+02,-0.15821,0.40945
coconut,4.88E+01,1.66E+02,-0.15821,0.40945
coconut,6.41E+01,2.96E+02,-0.15821,0.40945
coconut,8.20E+01,2.23E+02,-0.15821,0.40945
coconut,1.02E+02,3.01E+02,-0.15821,0.40945
coconut,3.51E+01,2.38E+02,-0.15821,0.40945
coconut,1.05E+02,1.89E+02,-0.15821,0.40945
coconut,9.45E+01,2.54E+02,-0.15821,0.40945
apricot,-2.84E+02,1.22E+02,0.18646,-0.13536
apricot,-3.33E+02,3.81E+01,0.18646,-0.13536
apricot,5.46E+00,6.38E+01,0.18646,-0.13536
apricot,-3.31E+02,1.42E+02,0.18646,-0.13536
apricot,-1.62E+02,1.31E+02,0.18646,-0.13536
apricot,-3.61E+02,5.88E+01,0.18646,-0.13536
apricot,-2.13E+02,1.85E+02,0.18646,-0.13536
apricot,-2.95E+02,1.17E+02,0.18646,-0.13536
apricot,-3.52E+02,1.54E+02,0.18646,-0.13536
apricot,-3.60E+02,3.09E+01,0.18646,-0.13536
banana,-1.58E+01,4.19E+02,-0.24019,0.26
banana,5.71E+01,4.13E+02,-0.24019,0.26
banana,-1.34E+02,4.95E+02,-0.24019,0.26
banana,-1.54E+01,3.89E+02,-0.24019,0.26
banana,-1.39E+02,5.77E+02,-0.24019,0.26
banana,7.30E+00,2.62E+02,-0.24019,0.26
banana,-4.93E+01,5.89E+02,-0.24019,0.26
banana,-4.01E+01,3.48E+02,-0.24019,0.26
banana,7.22E+01,3.31E+02,-0.24019,0.26
banana,3.24E+01,5.08E+02,-0.24019,0.26
olive,1.28E+02,2.11E+02,0.53913,-0.21396
olive,6.90E+01,1.87E+02,0.53913,-0.21396
olive,1.48E+02,-2.42E+00,0.53913,-0.21396
olive,1.98E+02,1.11E+02,0.53913,-0.21396
olive,1.59E+02,1.85E+02,0.53913,-0.21396
olive,1.49E+02,2.22E+02,0.53913,-0.21396
olive,-8.16E+01,-1.49E+02,0.53913,-0.21396
olive,1.12E+02,-2.19E+02,0.53913,-0.21396
